access,defibrillator:location,defibrillator:location:pl,description,emergency,indoor,latitude,longitude,note,note:pl,opening_hours,osm_id,phone,wikimedia_commons
,Defibrylator znajduje się w biurze obsługi klienta sklepu Media Markt (na prawo od wejścia do sklepu Media Markt).,,,defibrillator,yes,53.1233113,23.1782039,,,Mo-Sa 09:00-21:00;Su 10:00-20:00;PH off,4500244691,,
,,,,defibrillator,yes,53.4466444,14.5170932,,,Mo-Fr 07:30-15:30,4602178740,,
,,,,defibrillator,yes,53.4368794,14.5327997,,,,4602267041,,
permissive,,,,defibrillator,yes,49.9977939,19.8514664,,,,4769327015,+48122521100,
,,,,defibrillator,no,50.777219,15.723826,,,,5018244800,,
,,,,defibrillator,,51.74926,19.4609785,,,,5077579697,,
,,,,defibrillator,,54.4464011,18.5710974,,,24/7,5078786542,,
,,,,defibrillator,,49.6234517,20.6921121,,,,5137004846,,
,,,,defibrillator,,52.2399553,21.0134473,,,,5140047708,,
,,,,defibrillator,,53.8618851,21.3095723,,,,5208917524,,
no,353[S]21,,,defibrillator,,50.8097756,19.1288005,,,,5215893251,,
,"Ground floor, guard's office",,,defibrillator,yes,51.7471385,19.4558725,,,,5226674714,,
yes,,,,defibrillator,no,53.1339625,23.1724902,,,24/7,5300533096,,
,,,,defibrillator,,51.8225507,19.9000752,,,,5380053530,,
,,,,defibrillator,,50.0186612,19.8015296,,,,5394422342,,
,Remiza OSP,,,defibrillator,,49.9524591,22.5936153,,,,5445022097,998,
,,,,defibrillator,yes,53.8948134,14.2744842,,,,5495972212,,
yes,,,AED w przedsionku schroniska,defibrillator,yes,49.6534742,19.9919411,,,,5502733172,,
,w przedsionku Decathlonu,,,defibrillator,yes,50.06588,19.9875053,,,,5628200513,,
,,,,defibrillator,yes,49.7832322,19.0576428,,,,5646566847,,
,,,,defibrillator,,50.8869959,20.6652887,,,,5702241125,,
,Remiza OSP,,,defibrillator,,49.9373787,22.6114988,,,,5749100630,998,
,Remiza OSP,,,defibrillator,,49.9396309,22.523438,,,,5749104282,998,
,Remiza OSP,,,defibrillator,,49.8993401,22.5701262,,,,5749104786,998,
,Remiza OSP,,,defibrillator,,49.8618718,22.5592784,,,,5749105038,998,
,,,,defibrillator,,50.8137135,17.2052106,,,,5785074337,,
,,,,defibrillator,yes,50.8006021,20.4686921,on board fire-truck,na wyposażeniu wozu strażackiego,24/7,5809585077,998,
,,,,defibrillator,yes,50.7518396,20.4793312,on board fire-truck,na wyposażeniu wozu bojowego,,5809585078,,
,,,,defibrillator,,50.7949964,20.532219,on board fire-truck,na wyposażeniu wozu bojowego,,5809585079,,
,,,,defibrillator,yes,50.809181,20.3495909,on board fire-truck,na wyposażeniu wozu bojowego,,5809585080,,
yes,Na prawo od wejścia do przejścia podziemnego,,,defibrillator,,53.1352493,23.1630505,,,24/7,5812079503,,
yes,,,,defibrillator,,53.131289,23.1700857,,,24/7,5812087265,,
,,,,defibrillator,,49.6056433,20.4903287,,,,5813444583,,
yes,,,,defibrillator,no,53.1268824,23.1663031,,,,5814467844,,
,,,Inside building,defibrillator,,51.1479102,15.0076406,,,,5838749127,,
,,,,defibrillator,yes,53.9098582,14.267315,,,,5907388191,,
,,,,defibrillator,,53.3119861,17.9482818,,,,5908146662,,
,,,,defibrillator,,53.3076719,17.9425634,,,,5908146696,,
,,,,defibrillator,yes,52.4483219,16.9917368,,,06:30-22:00,5940566953,,
,,,"Ogólnodostępny całodobowy defibrylator
AED 24/7",defibrillator,,51.2944637,18.1530876,,,24/7,5964324786,,
,,,,defibrillator,yes,52.3950947,20.9313793,,,,5991073424,,
,reception,,,defibrillator,yes,52.401019,20.9412882,,,04:00-00:00,5991073425,,
,,,,defibrillator,,51.7483073,19.4398486,,,,6092751894,,
,,,,defibrillator,yes,49.8680487,19.2270087,,,,6207121845,,
,,,,defibrillator,yes,52.1802232,20.9790173,,,24/7,6211956241,,
,,,,defibrillator,,50.0589796,21.3999832,,,,6286852001,,
,,,,defibrillator,,49.5397638,20.577042,,,,6291841431,,
,Luxmed,,,defibrillator,yes,50.0329314,19.9379541,,,,6292181561,,
private,wall,,,defibrillator,yes,52.2718345,20.9783611,,,,6306557163,,
private,wall,,,defibrillator,yes,52.2717066,20.9747184,,,,6306557164,,
,,,,defibrillator,,50.0283232,21.0128033,,,,6345380355,,
,,,,defibrillator,,50.02826,21.0060853,,,,6345380356,,
,,,,defibrillator,,50.9933718,19.4415453,,,,6382745125,,
yes,,,,defibrillator,,53.1311934,23.1567132,,,24/7,6383408506,,
,hall,,,defibrillator,yes,50.2743519,19.0268029,,,,6389678274,,
,,,,defibrillator,yes,54.4600232,18.5578608,,,08:00-22:00,6426841352,,
,,,AED w budynku.  24/7,defibrillator,yes,53.9615593,18.3485086,,,,6432675613,,
,,,column at cashier row,defibrillator,,51.1563677,15.0309593,,,,6443814503,,
,,,,defibrillator,,51.108514,15.592527,,,,6505176033,,
,,,,defibrillator,,51.111286,15.584405,,,,6505176034,,
,,,,defibrillator,,49.2291462,19.8587463,,,,6524589908,,
,Hol parteru budynku przy sekretariacie,,,defibrillator,yes,54.3958785,18.3999508,,,,6573841296,,
,,,,defibrillator,,50.0743203,19.9347209,,,,6593525155,,
,,,,defibrillator,yes,50.0534597,19.9339855,,,,6637655082,,
,,,,defibrillator,no,52.5127736,15.2400314,,,,6698943492,,
private,wall,,,defibrillator,yes,52.4487633,21.0069542,,,,6700064511,,
,,,,defibrillator,yes,50.0610964,19.9247504,,,,6794452850,,
,,,,defibrillator,,50.5734337,19.5224407,,,,6855228607,,
,wall,,,defibrillator,yes,50.4513432,16.6566096,,,,6857736292,,
,,,,defibrillator,,54.5717703,18.3973858,,,,6877360309,,
,,,,defibrillator,,52.4027088,16.9124346,,,,6878332105,,
,,,,defibrillator,,51.5308602,20.0049703,,,24/7,6879580602,,
,,,,defibrillator,,53.1364036,23.1618042,,,,6880747966,,
,,,,defibrillator,yes,50.2574417,18.5497452,,,,6893295751,,
,,,,defibrillator,,50.0617178,19.9376193,,,,6984782727,,
,,,,defibrillator,yes,50.1386626,19.3994382,,,,7095994467,,
,Defibrylator znajduje się wewnątrz budynku na ścianie przy recepcji,,,defibrillator,yes,49.5243344,20.653015,,,Mo-Fr 08:00-18:00,7101108969,+48 18 446 60 67,
,,,,defibrillator,,51.9406072,15.508794,,,,7105318578,,
,słup obok parkingu rowerowego,,,defibrillator,no,54.4017139,18.5765813,,,24/7,7125572263,,
yes,,,,defibrillator,no,51.837963,16.5807889,,,Jan-Dec: 24/7,7140191785,,
,,,,defibrillator,,51.9393313,15.5041825,,,,7157294910,,
yes,left side of front wall,Lewa strona ściany frontowej budynku.,,defibrillator,no,49.9807043,21.9384671,,,24/7,7174930540,,
yes,Inside bus stop shelter,Wewnątrz wiaty przystankowej,,defibrillator,,50.04064,22.0011888,,,24/7,7174960472,,
,"AED znajduje się na ścianie wewnątrz budynku przy kasie kina ""Sokół""",,,defibrillator,yes,49.6223895,20.6949123,,,Mo-Fr 08:00-21:00; Sa-Su 12:00-21:00,7181005581,+48 18 448 26 43;+48 18 448 26 00,
,,,,defibrillator,,54.1257188,17.9752794,,,,7187081531,,
,,,,defibrillator,no,54.1163714,17.8704563,,,,7187081532,,
,,,,defibrillator,yes,54.0984058,17.7879906,,,,7187081533,,
,Defibrylator na wyposażeniu Ochotniczej Straży Pożarnej w Dziemianach.,,,defibrillator,yes,54.0080653,17.7664838,,,,7187081534,,
,,,AED na wyposażeniu jednostki OSP Raduń,defibrillator,yes,53.9751761,17.7694765,,,,7187081535,,
,,,,defibrillator,yes,54.0978721,18.0611782,,,,7187081536,,
,,,,defibrillator,yes,54.1838877,18.1023693,,,,7187081537,,
,,,,defibrillator,yes,54.1362962,18.0334898,,,,7187081538,,
,,,,defibrillator,,54.0782324,18.2226077,,,,7187081539,,
,,,,defibrillator,yes,54.0328403,18.1357513,,,,7187081540,,
,,,,defibrillator,,53.9908009,18.17052,,,,7187081541,,
,,,,defibrillator,,53.9683282,18.0921333,,,,7187081542,,
,,,,defibrillator,yes,54.1332718,18.205691,,,,7187081543,,
,,,,defibrillator,yes,54.1471683,18.1715028,,,,7187081544,,
,,,,defibrillator,yes,54.1157685,18.1619353,,,,7187081545,,
yes,On the wall behind cash desks.,Na ścianie za kasami,,defibrillator,yes,50.0367636,21.9750944,,,Mo-Sa 07:00-21:00,7206180203,,
,,,,defibrillator,,54.2464107,20.807112,,,,7239407480,,
,,,,defibrillator,,54.2468613,20.8072641,,,,7239407481,,
,,,,defibrillator,,54.2413615,20.8086897,,,,7239407482,,
,,,,defibrillator,,54.2474988,20.807604,,,,7239407483,,
,,,,defibrillator,,54.2507566,20.8153357,,,Mo-Fr 08:00-20:00,7239407484,,
,,,,defibrillator,,54.2463657,20.8109667,,,,7239491885,,
,,,,defibrillator,,54.2514762,20.811503,,,,7239491886,,
,,,,defibrillator,,54.6057444,18.8013368,,,,7239772503,,
,,,,defibrillator,,52.2877899,20.9792029,,,,7245243849,,
,,,,defibrillator,,53.4392899,14.5394395,,,Mo-Fr 07:00-16:00,7256349201,,
,na filarze przy recepcji,,,defibrillator,yes,54.4046115,18.5762778,,,,7274234834,,
,słup obok wiaty przystankowej,,,defibrillator,no,54.4099248,18.5672761,,,24/7,7274264910,,
,,,,defibrillator,no,54.520795,18.5463799,,,,7277213717,,
,,,,defibrillator,yes,52.2805552,20.9743021,,,,7311782458,,
,,,,defibrillator,,50.2217789,19.9781249,,,,7474230189,,
yes,E/S corner of building,południowo-wschodni narożnik budyku,,defibrillator,,54.6049228,18.8027185,,,24/7,7570550308,,
,Przy gabinecie ppomocy,,,defibrillator,yes,50.8081061,16.327401,,,,7580315444,,
,,,,defibrillator,no,51.8878174,15.3908495,,,,7638220623,,
yes,on wall by the left of main entrance to ticket office about one and a half meter above floor,,,defibrillator,yes,51.213234,16.1684828,,,24/7,7650697163,,
,,,,defibrillator,yes,50.122096,22.4166335,,,,7661622089,,
yes,,,,defibrillator,yes,51.1860557,16.1702899,,,,7684071930,,
,,,,defibrillator,,54.7605078,17.5543993,,,,7684841696,,
,w sekretariacie,,,defibrillator,yes,50.0931399,20.1488544,,,,7785146644,123934172,
,,,,defibrillator,,52.5967243,15.4982813,,,,7785630027,,
,,,,defibrillator,,50.1074767,18.4796531,,,,7825421850,,
,,,,defibrillator,yes,50.1067176,18.4754831,,,,7825421851,,
,,,,defibrillator,no,54.1803838,17.4955896,,,,7830424848,,
,,,,defibrillator,yes,54.185066,17.4937264,,,,7830424849,,
,,,,defibrillator,no,54.3544362,18.6497508,,,,7837639090,,
,,,,defibrillator,,54.3552291,18.6460211,,,,7837741435,,
yes,wall,,,defibrillator,,52.5751867,17.0101196,,,24/7,7844163622,,
,,,,defibrillator,no,49.8464005,20.0791666,,,,7856277298,,
,,,,defibrillator,,54.4144508,18.6004439,,,,7856983796,,
,elewacja komisariatu,,,defibrillator,no,54.4101285,18.5995435,,,24/7,7856997132,,
,wall,,,defibrillator,no,54.1866621,15.5537386,,,24/7,7866406143,,
yes,,,,defibrillator,,54.4069829,18.6148461,,,,7876171364,,
,W sklepie Media Markt,,,defibrillator,yes,50.0297452,21.0037162,,,,7890385140,,
,na budynku remizy,,,defibrillator,,54.6946564,18.2378067,,,,8041657665,,
,na budynku szkoły,,,defibrillator,,54.6973755,18.2481991,,,,8041657666,,
,Łupawa 19A,,,defibrillator,yes,54.4180065,17.4154856,,,,8070887435,,
,"W sklepie Lidl, przy drzwiach wejściowych.",,,defibrillator,yes,50.0355807,21.0129029,,,,8088260901,,
,hall,,,defibrillator,yes,50.0810367,19.970584,,,,8093328671,,
,Przedsionek portierni,,,defibrillator,,54.4714975,18.4609058,,,,8145254848,,
,ściana kaplicy,,,defibrillator,no,54.474017,18.4898808,,,,8145254849,,
,"ściana budynku, przy aptece",,,defibrillator,,54.4673307,18.4870786,,,,8145254850,,
,ściana budynku tawerny,,,defibrillator,,54.4811111,18.5643985,,,,8145254851,,
,w portierni Straży Miejskiej,,,defibrillator,,54.5097363,18.5385835,,,,8145264645,,
,"kapsuła w przedsionku urzędu, naprzeciwko portierni",,,defibrillator,yes,54.5198568,18.5350108,,,,8145264646,,
,,,,defibrillator,yes,50.4520696,16.6380872,,,,8380480058,,
,,,,defibrillator,,50.0532059,21.6114499,,,,8396270687,,
,,,,defibrillator,yes,50.076455,20.0341009,,,,8432300535,,
,,,,defibrillator,yes,50.0770459,20.0328923,,,24/7,8432300536,,
,filar przy informacji,,,defibrillator,yes,54.5049386,18.5316899,,,,8435709915,,
yes,Na ścianie budynku,,,defibrillator,,49.1585279,22.4637246,,,24/7,8440625450,,
,słup na trawniku,,,defibrillator,no,54.4085793,18.5884816,,,24/7,8461898904,,
,"w budynku małej hali, naprzeciw recepcji",,,defibrillator,yes,50.0683751,19.9921439,,,,8503144600,,
,,,,defibrillator,,53.3882154,19.1537452,,,,8519312217,,
yes,Na ścianie przy wejściu do budynku,,,defibrillator,no,53.3276186,17.4524367,,,,8538788082,,
yes,Patrząc z zewnątrz na lewo od drzwi głównych,,,defibrillator,no,53.4731224,17.4440345,,,,8538788087,,
,ściana remizy OSP,,,defibrillator,no,49.8768971,20.0444217,,,24/7,8543774134,,
,Dyżurny Zmianowy,,,defibrillator,yes,50.0651716,19.9488779,,,24/7,8558257175,123935397,
yes,,,,defibrillator,,50.4997476,21.5417961,,,,8566095370,,
yes,Na frontowej ścianie budynku OSP Rakownia,,,defibrillator,no,52.5578387,17.0338703,,,24/7,8567844717,,
fixme,,,,defibrillator,,50.1321217,19.6368026,,,,8575199570,,
fixme,,,,defibrillator,yes,53.8047475,21.5722872,,,,8575201945,,
yes,,,,defibrillator,yes,50.0004388,18.4587816,,,,8647039351,,
,ściana budynku targowiska,,,defibrillator,no,53.9279649,18.7035474,,,24/7,8664558128,,
,,,,defibrillator,yes,49.5601954,20.0396985,,,,8668965020,,
,ściana budynku dworca,,,defibrillator,no,54.3814372,18.605132,,,24/7,8669535551,,
,Na ścianie budynku,,,defibrillator,no,50.5493788,19.455291,AED,,,8690697297,,
,,,,defibrillator,,50.2279912,19.2756277,,,,8730865155,,
,,,,defibrillator,,51.9494291,15.0882479,,,,8734791024,,
,AED znajduje się na korytarzu- parter przy drzwiach wyjściowych,,,defibrillator,yes,53.4726263,17.8965095,,,Mo-Fr 07:15-15:15,8740330445,+48 52 334 11 75,
,Po wejściu do budynku wejść po schodach;na lewo przy biurze podawczym,,,defibrillator,yes,53.6955545,17.5535604,,,,8760409798,,
permissive,Po wejściu na wprost 10 m na ścianie na lewo od drzwi,,,defibrillator,yes,53.3572586,17.0144799,,,,8772348171,+48 660 759 974,
,,,,defibrillator,,54.587237,16.8544052,,,,8796496886,,
,,,,defibrillator,,51.7336704,19.4489759,,,,8814699819,,
yes,wall,,,defibrillator,,50.1486491,19.7581048,,,,8820511231,,
no,Zlokalizowany w samochodzie GBA Renault Ochotniczej Straży Pożarnej w Wejherowie,,Budynek Komendy Powiatowej PSP w Wejherowie,defibrillator,yes,54.6016965,18.233418,,,,8833517463,,
,,,,defibrillator,yes,51.7497821,19.441178,,,,8838880663,,
permissive,"Przy wejściu do sklepu Auchan, obok biurka ochroniarza",,,defibrillator,yes,54.5861495,18.3735472,,,,8851257287,,
yes,Samochód gaśniczy - uruchomić alarm na elewacji remizy.,,,defibrillator,,50.6465257,18.6131482,,,24/7,8856007377,+48 517 96 20 12,
,wewnątrz Auchan na ścianie na prawo od wejścia,,,defibrillator,yes,54.5030775,18.5312493,,,,8862799487,,
,przy kasach biletowych,,,defibrillator,yes,54.533971,17.7502611,,,Mo-Su 04:00-00:45,8868928632,,
yes,Samochód gaśniczy - uruchomić alarm na elewacji remizy.,,,defibrillator,,50.6991494,18.5487539,,,24/7,8869185701,,
yes,Samochód gaśniczy - uruchomić alarm na elewacji remizy.,,,defibrillator,,50.65579,18.5392216,,,24/7,8869185702,,
yes,Samochód gaśniczy - uruchomić alarm na elewacji remizy.,,,defibrillator,,50.7153491,18.5994936,,,24/7,8869185703,,
yes,Komenda Powiatowa Policji,,,defibrillator,,50.6724515,18.6885302,,,24/7,8870311585,,
yes,Rynek Miasta Lubliniec,,,defibrillator,,50.6689219,18.6824984,,,24/7,8870311586,,
permissive,,,,defibrillator,,50.6706051,18.7079162,,,,8870347239,,
private,,,,defibrillator,,50.6745083,18.6744503,,,,8870358118,,
yes,Na scianie,,,defibrillator,,50.6731781,18.689352,,,24/7,8870363486,,
yes,Przy bramie,,,defibrillator,,50.6569075,18.6755776,,,24/7,8870363487,,
yes,Stanowisko Kierowania KP PSP,,,defibrillator,,50.682728,18.6776817,,,24/7,8870363488,,
,,,,defibrillator,,50.0453368,19.4928923,,,,8891030234,,
,,,,defibrillator,yes,53.6351533,19.4578577,,,,8906942357,,
yes,"Na prawo od wejscia do przychodni, pod sciana",,,defibrillator,,53.133887,23.1550484,,,24/7,8948536282,,
,,,,defibrillator,yes,54.6017437,18.2294819,,,Mo-Fr 07:00-15:00,8951221428,,
,W Zespołach Ratownictwa Medycznego,,,defibrillator,yes,54.6057017,18.2199377,,,,8951221429,,
,Samochody ratowniczo-gaśnicze,,,defibrillator,yes,54.61133,18.1999726,,,,8951221430,,
,,,,defibrillator,,53.67533,17.3781652,,,,8954316260,,
,,,,defibrillator,no,53.84552,22.9871807,,,,8974935636,,
yes,,,,defibrillator,no,53.1340422,23.1457843,,,24/7,8975800244,,
,,,,defibrillator,no,53.853843,22.9854563,,,,8977465134,,
yes,hotel lobby - hotel reception,,,defibrillator,yes,53.9182952,14.2642732,,,24/7,8979286125,,
,hala basenowa obok pokoju ratownika,,,defibrillator,yes,54.5447032,18.4588112,,,,8980816577,,
no,,,,defibrillator,yes,51.4678768,21.4406313,,,,8984141193,,
,W poczekalni Komendy Miejskiej Policji,,,defibrillator,yes,50.0885359,18.5421263,,,24/7,8988213764,,
,zadaszenie przy pawilonie lwów,,,defibrillator,no,54.4100483,18.5392093,,,,9006446183,,
,elewacja pawilonu żyraf,,,defibrillator,no,54.4094266,18.5349682,,,,9006451468,,
,przedsionek budynku przy drzwiach,,,defibrillator,no,54.4133427,18.5338125,,,,9006504092,,
,,,,defibrillator,yes,50.8324471,15.5187911,,,,9006854432,,
,,,,defibrillator,no,50.0235981,18.3382864,,,24/7,9022432391,,
,Błonia przy EnduroTrails,,,defibrillator,no,49.7794242,19.0550669,,,,9029163837,,
,,,,defibrillator,no,54.3483661,18.6070235,,,,9035605973,,
,,,,defibrillator,yes,50.8118508,20.2613074,on board fire-truck,na wyposażeniu wozu bojowego,,9036458931,,
,,,,defibrillator,yes,50.7403403,20.4043217,on board fire-truck,na wyposażeniu wozu bojowego,,9036458932,,
,,,,defibrillator,yes,50.6806047,20.1069582,on board fire-truck,na wyposażeniu wozu bojowego,,9036458937,,
,,,,defibrillator,yes,50.9203939,20.4233802,on board fire-truck,na wyposażeniu wozu bojowego,,9036458938,,
,,,,defibrillator,yes,50.8491745,20.9418311,on board fire-truck,na wyposażeniu wozu bojowego,,9036458939,,
,,,,defibrillator,yes,50.6151813,20.7488947,on board fire-truck,na wyposażeniu wozu bojowego,,9036458940,,
,,,,defibrillator,yes,50.8809027,20.7139073,on board fire-truck,na wyposażeniu wozu bojowego,,9036458941,,
,,,,defibrillator,yes,50.9433643,20.4198178,on board fire-truck,na wyposażeniu wozu bojowego,,9036458942,,
,,,,defibrillator,yes,50.9445961,20.4307231,,,,9036458943,,
,,,,defibrillator,yes,50.7552732,20.4606018,,,,9036458944,,
,,,,defibrillator,yes,50.6985968,20.4541229,on board fire-truck,na wyposażeniu wozu bojowego,,9036458945,,
,,,,defibrillator,yes,50.7983463,20.5708597,on board fire-truck,na wyposażeniu wozu bojowego,,9036458946,,
,,,,defibrillator,yes,50.7309908,20.5724231,on board fire-truck,na wyposażeniu wozu bojowego,,9036458955,,
,,,,defibrillator,yes,51.0354795,20.4780927,on board fire-truck,na wyposażeniu wozu bojowego,,9036458956,,
,,,,defibrillator,yes,50.7443235,20.6160598,on board fire-truck,na wyposażeniu wozu bojowego,,9036458957,,
,,,,defibrillator,yes,50.7317507,20.6435325,on board fire-truck,na wyposażeniu wozu bojowego,,9036458958,,
,,,,defibrillator,yes,50.7859043,20.6191398,on board fire-truck,na wyposażeniu wozu bojowego,,9036458959,,
,,,,defibrillator,yes,50.7734594,20.5764462,on board fire-truck,na wyposażeniu wozu bojowego,,9036458960,,
,,,,defibrillator,yes,50.7175153,20.6716881,on board fire-truck,na wyposażeniu wozu bojowego,,9036458965,,
,,,,defibrillator,yes,50.8128805,20.6890838,on board fire-truck,na wyposażeniu wozu bojowego,,9036458968,,
,,,,defibrillator,yes,50.8710032,20.647062,on board fire-truck,na wyposażeniu wozu bojowego,,9036458969,,
,,,,defibrillator,yes,50.8881406,20.623915,on board fire-truck,na wyposażeniu wozu bojowego,,9036458970,,
,,,,defibrillator,yes,50.8750361,20.599777,on board fire-truck,na wyposażeniu wozu bojowego,,9036458971,,
,,,,defibrillator,yes,50.9039973,20.5754013,on board fire-truck,na wyposażeniu wozu bojowego,,9036458972,,
,,,,defibrillator,yes,50.990648,20.6165493,on board fire-truck,na wyposażeniu wozu bojowego,,9036458973,,
,,,,defibrillator,yes,50.9687167,20.6786682,on board fire-truck,na wyposażeniu wozu bojowego,,9036458974,,
,,,,defibrillator,yes,50.9491925,20.6747262,on board fire-truck,na wyposażeniu wozu bojowego,,9036458975,,
,,,,defibrillator,yes,51.0076669,20.3991668,on board fire-truck,na wyposażeniu wozu bojowego,,9036458976,,
,,,,defibrillator,yes,51.0124457,20.4824972,on board fire-truck,na wyposażeniu wozu bojowego,,9036458977,,
,,,,defibrillator,,54.3600871,18.6483834,,,,9037965180,,
,,,,defibrillator,,54.3515333,18.6412171,,,,9043953870,,
,,,,defibrillator,,54.4071201,18.6385405,,,,9044679854,,
,"wewnątrz sali ekspozycyjnej InfoBoxu, obok drzwi",,,defibrillator,yes,54.5187703,18.541816,,,Mo-Fr 10:00-19:00; Sa 11:00-18:00; Su 11:00-16:00,9064304768,,
,przy wejściu wewnątrz budynku Studenckiego Domu Marynarza 2,,,defibrillator,yes,54.5144664,18.5481411,,,,9066402827,,
,przy wejściu wewnątrz budynku Wydziału Nawigacyjnego,,,defibrillator,yes,54.5183758,18.5547839,,,,9066402828,,
,przy wejściu wewnątrz budynku B (głównego),,,defibrillator,yes,54.5263972,18.5116964,,,,9066402829,,
,W recepcji budynku IGK1.,,,defibrillator,yes,54.3806551,18.4843412,,,,9067349657,,
,W recepcji budynku IGK3.,,,defibrillator,yes,54.3819855,18.4840494,,,,9067349658,,
,,,,defibrillator,,49.7493002,18.6336433,,,,9071325407,,
,,,,defibrillator,yes,51.7548446,20.2350055,,,,9072217711,,
,przy sklepie z pamiątkami,,,defibrillator,yes,52.412337,16.9514012,,,,9081670920,,
,,,,defibrillator,,50.7772168,15.7237797,,,,9088486602,,
yes,na elewacji budynku,,,defibrillator,no,50.3450594,19.0886882,,,,9091442233,,
,filar przy windzie obok głównego wejścia,,,defibrillator,yes,54.3709009,18.6130391,,,,9098387181,,
,ściana przy głównym wejściu do Urzędu Miejskiego w Łowiczu,,,defibrillator,no,52.1081329,19.9450275,,,24/7,9101929296,,
,,,,defibrillator,yes,53.1264839,18.013435,,,,9103908455,,
yes,Centrum Medyczne Medyk,,,defibrillator,yes,50.0185278,21.9721935,,,Mo-Fr 07:00-18:00,9113127661,,
,,,,defibrillator,yes,50.8121673,19.119335,,,,9166027717,,
,przy wejściu do szkoły,,,defibrillator,no,51.9892419,17.0595013,,,,9176919323,,
yes,,,,defibrillator,yes,50.8747893,20.6329602,,,24/7,9177124291,,
,Trawnik w pobliżu schodków pomiędzy pomostem i wiatą rowerową,,zamknięty w szafce typu SmartCase,defibrillator,no,53.856679,22.9722288,,,,9191176653,,
